p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,0.453174525413222,0.09,0.591,0,0,PIM1
0,0.252392780836872,0.067,0.568,0,0,DDIT3
0,0.574973952446675,0.054,0.544,0,0,AC007952.4
0,0.743559775004634,0.029,0.502,0,0,APOLD1
0,0.495626219230772,0.079,0.532,0,0,ACP5
0,0.750329305504352,0.083,0.536,0,0,ITM2C
0,0.647508448095566,0.063,0.514,0,0,TNFSF13B
0,1.29795551280563,0.038,0.483,0,0,S100B
0,0.772781933406471,0.041,0.482,0,0,AC245014.3
0,1.37377279481304,0.084,0.522,0,0,NCF1
0,0.633775281345109,0.197,0.634,0,0,UBE2S
0,1.72554905433092,0.106,0.542,0,0,TMEM173
0,1.05163708033684,0.234,0.668,0,0,NR4A2
0,1.3893866296562,0.023,0.443,0,0,CHN1
0,0.257335484365299,0.03,0.449,0,0,SMYD3
0,0.548493781972432,0.112,0.526,0,0,NUCB2
0,0.655795735178735,0.179,0.593,0,0,SH3BGRL
0,1.41116157683664,0.092,0.501,0,0,CLIC3
0,1.04240353098078,0.094,0.5,0,0,CCL3
0,0.945672128440595,0.257,0.655,0,0,H1FX
0,0.297254630348975,0.013,0.407,0,0,AL360012.1
0,0.31533535484872,0.06,0.452,0,0,HEXIM1
0,0.643941461000097,0.095,0.485,0,0,CITED2
0,1.19222616213982,0.102,0.492,0,0,GCHFR
0,0.762009958741092,0.06,0.448,0,0,PLEK
0,0.408868758500062,0.029,0.417,0,0,LINC01588
0,0.581185491168446,0.051,0.437,0,0,RGS16
0,2.48093836022448,0.122,0.504,0,0,MAF
0,1.24015113397043,0.073,0.453,0,0,TNF
0,2.16128285775535,0.072,0.449,0,0,IFIT2
0,2.6403931886074,0.056,0.433,0,0,ANXA2R
0,2.59454026165787,0.07,0.444,0,0,RTKN2
0,1.19115628124017,0.127,0.498,0,0,C12orf75
0,0.824377113477756,0.082,0.453,0,0,CSRNP1
0,0.582814938427996,0.028,0.398,0,0,AC103591.3
0,2.40741264951671,0.167,0.534,0,0,OAS1
0,0.559379750917274,0.034,0.396,0,0,ADA2
0,2.49115069525078,0.164,0.524,0,0,IFIT3
0,0.318872500630399,0.099,0.456,0,0,RGS2
0,2.03500480850347,0.103,0.456,0,0,GBP4
0,0.550002256130248,0.023,0.374,0,0,TGFBR3
0,1.4991034867625,0.094,0.445,0,0,LGALS9
0,2.34356695960013,0.19,0.535,0,0,KLF2
0,2.72288506683637,0.118,0.459,0,0,CD84
0,1.74329437773295,0.163,0.503,0,0,ZEB2
0,1.47524092379773,0.02,0.36,0,0,FXYD1
0,0.5178371889911,0.024,0.364,0,0,PIK3AP1
0,1.52444831809376,0.156,0.493,0,0,ITGB2
0,2.38743527644973,0.182,0.516,0,0,LBH
0,1.89955142373932,0.107,0.438,0,0,PRMT9
0,0.570702240781166,0.034,0.364,0,0,NR4A3
0,0.372809711316712,0.017,0.347,0,0,AMIGO2
0,1.78758375636063,0.218,0.545,0,0,SLC2A3
0,1.64110934963248,0.077,0.404,0,0,PIM2
0,2.9271166004635,0.101,0.428,0,0,SYNE1
0,1.65506477111955,0.035,0.357,0,0,KRT86
0,1.90529676791541,0.195,0.516,0,0,GPR183
0,2.83659314996817,0.149,0.466,0,0,RSAD2
0,1.18653750469016,0.016,0.333,0,0,LAMP3
0,2.63387173216241,0.039,0.355,0,0,MAL
0,2.79439876421218,0.198,0.511,0,0,IFIT1
0,2.79695545381253,0.114,0.425,0,0,CCL4L2
0,1.19810765240243,0.024,0.334,0,0,CLECL1
