"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Inflammatory Response (GO:0006954)","27/236",6.43694628740184e-19,1.17409900282209e-15,0,0,11.9714959522892,501.450799389961,"PTGER4;CCL13;CSF1R;CXCL9;CCL3L1;C5AR1;ITGB2;FPR3;AIF1;CCL8;CCL7;C3AR1;CCL3;OLR1;LGALS9;CD14;CCR1;SLC11A1;NFAM1;CYBB;CYBA;LYZ;ADAM8;SIGLEC1;FCGR2B;TLR4;NAIP"
"Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886)","12/26",5.08593291951504e-17,4.63837082259772e-14,0,0,74.897597977244,2809.96824311963,"HLA-DMA;HLA-DMB;FCER1G;CTSL;HLA-DRA;HLA-DOA;FCGR2B;CTSD;CTSS;HLA-DQA1;HLA-DRB1;HLA-DPA1"
"Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495)","12/28",1.56887180893536e-16,9.538740598327e-14,0,0,65.5287610619469,2384.65745309392,"HLA-DMA;HLA-DMB;FCER1G;CTSL;HLA-DRA;HLA-DOA;FCGR2B;CTSD;CTSS;HLA-DQA1;HLA-DRB1;HLA-DPA1"
"Positive Regulation Of T Cell Activation (GO:0050870)","18/107",5.44086288334734e-16,2.4074480417163e-13,0,0,18.0854954034729,635.658571964996,"CD86;DOCK8;PDCD1LG2;LILRB2;AIF1;HLA-DMA;PTPRC;HLA-DMB;CD209;SIRPA;HLA-DRA;NCKAP1L;LGALS9;HLA-DOA;B2M;HLA-DQA1;HLA-DRB1;HLA-DPA1"
"Antigen Processing And Presentation Of Exogenous Peptide Antigen (GO:0002478)","12/31",7.05260797710215e-16,2.4074480417163e-13,0,0,55.1737307871449,1924.89913420106,"HLA-DMA;HLA-DMB;FCER1G;CTSL;HLA-DRA;HLA-DOA;FCGR2B;CTSD;CTSS;HLA-DQA1;HLA-DRB1;HLA-DPA1"
"Regulation Of Tumor Necrosis Factor Production (GO:0032680)","19/127",7.91923697932995e-16,2.4074480417163e-13,0,0,15.788347708439,548.993478459345,"CD84;SYK;IFNGR1;LY96;TNFAIP3;CYBA;LILRB4;FCGR3A;TYROBP;PTPRC;CLEC7A;CCL3;SIRPA;PTPN6;LGALS9;CD14;LCP1;TLR4;HAVCR2"
"Positive Regulation Of Tumor Necrosis Factor Superfamily Cytokine Production (GO:1903557)","16/82",2.02490157761922e-15,5.27631496796779e-13,0,0,21.5080535080535,727.68746532636,"CD86;CD84;SYK;IFNGR1;LY96;CYBA;FCGR3A;TYROBP;PTPRC;CLEC7A;CCL3;LGALS9;LCP1;CD14;TLR4;HAVCR2"
"Negative Regulation Of Cytokine Production (GO:0001818)","21/178",3.17195957393202e-15,7.232067828565e-13,0,0,12.0844462708034,403.432312379774,"SRGN;PTGER4;PRNP;CD84;SLC11A1;LAPTM5;TNFAIP3;TREM2;PDCD1LG2;LILRB4;TYROBP;PTPRC;SIRPA;NCKAP1L;PTPN6;LGALS9;VSIG4;FCGR2B;TLR4;HLA-DRB1;HAVCR2"
"Positive Regulation Of Tumor Necrosis Factor Production (GO:0032760)","15/78",1.95961048694867e-14,3.64215980970277e-12,0,0,21.0324578261798,663.85683800128,"CD84;SYK;IFNGR1;LY96;CYBA;FCGR3A;TYROBP;PTPRC;CLEC7A;CCL3;LGALS9;LCP1;CD14;TLR4;HAVCR2"
"Regulation Of ERK1 And ERK2 Cascade (GO:0070372)","23/244",1.99679814128442e-14,3.64215980970277e-12,0,0,9.45897085131011,298.379890184137,"LYN;CCR1;CCL13;CD74;CSF1R;SYK;CCL3L1;C5AR1;TREM2;ARRB2;SPRED1;CD4;PTPRC;CCL8;CCL7;GLIPR2;GPR183;CCL3;SIRPA;PTPN6;LGALS9;TLR4;HLA-DRB1"
"Regulation Of Interleukin-6 Production (GO:0032675)","17/114",2.89437551917494e-14,4.79940086088644e-12,0,0,15.5947660586836,486.142222157941,"CD74;CD84;SYK;TNFAIP3;CYBA;TREM2;LILRB2;AIF1;LILRB4;TYROBP;CLEC7A;SIRPA;NCKAP1L;PTPN6;LGALS9;LCP1;TLR4"
"Positive Regulation Of Cytokine Production (GO:0001819)","25/320",1.05034331782009e-13,1.59652184308653e-11,0,0,7.74528527094772,231.463893479429,"PTGER4;CD86;CSF1R;AIF1;CLEC7A;HMOX1;LGALS9;CD14;HLA-DPA1;HAVCR2;CD74;FCER1G;SYK;SLC11A1;NFAM1;LAPTM5;OSM;CYBA;LILRB2;FGR;CD4;TYROBP;PTPRC;LCP1;TLR4"
"Macrophage Activation (GO:0042116)","11/35",1.74379205414818e-13,2.44667438982022e-11,0,0,39.8527900146843,1170.77709718273,"C1QA;FCGR3A;ITGAM;SYK;IFNGR1;SLC11A1;C5AR1;ITGB2;TREM2;AIF1;TLR4"
"Microglial Cell Activation (GO:0001774)","9/20",6.16262451415668e-13,8.02901936701556e-11,0,0,70.5672886065899,1984.00662039204,"C1QA;GRN;ITGAM;TYROBP;IFNGR1;C5AR1;ITGB2;TREM2;AIF1"
"Negative Regulation Of Lymphocyte Proliferation (GO:0050672)","11/39",6.71835145468056e-13,8.16951536889157e-11,0,0,34.1526117054751,957.255473112126,"CD86;LYN;TYROBP;LST1;MNDA;VSIG4;LILRB2;PDCD1LG2;FCGR2B;LILRB4;HLA-DRB1"
"Immunoglobulin Mediated Immune Response (GO:0016064)","10/30",1.14904299267334e-12,1.3099090116476e-10,0,0,43.2938596491228,1190.23875953324,"CD74;HLA-DMA;HLA-DMB;FCER1G;HLA-DRA;HLA-DOA;FCGR2B;HLA-DQA1;HLA-DRB1;HLA-DPA1"
"Regulation Of Phagocytosis (GO:0050764)","12/58",3.35872899957813e-12,3.60371864425324e-10,0,0,22.7579838399384,601.25360931736,"FGR;FCER1G;PTPRC;SYK;CLEC7A;SLC11A1;SIRPA;TREM2;CYBA;DOCK2;FCGR2B;TGM2"
"Negative Regulation Of Inflammatory Response (GO:0050728)","15/111",4.31097460713378e-12,4.36845426856223e-10,0,0,13.7794282511211,360.605668395268,"LYN;PTGER4;GRN;SYK;IL10RA;SIGLEC10;TNFAIP3;TREM2;FGR;ALOX5;SLAMF8;SIRPA;SLC39A8;PTPN6;HLA-DRB1"
"Positive Regulation Of Lymphocyte Activation (GO:0051251)","11/47",6.42173279186503e-12,6.16486348019043e-10,0,0,26.5523739598629,684.290074695227,"HLA-DMA;HLA-DMB;TYROBP;CLEC7A;SIRPA;HLA-DRA;NCKAP1L;HLA-DOA;HLA-DQA1;HLA-DRB1;HLA-DPA1"
"Regulation Of T Cell Activation (GO:0050863)","12/62",7.80177625543101e-12,7.11521994495308e-10,0,0,20.9330973451327,535.398916240704,"HLA-DMA;CD4;HLA-DMB;CD209;LAPTM5;SIRPA;HLA-DRA;HLA-DOA;B2M;HLA-DQA1;HLA-DRB1;HLA-DPA1"
"Response To Type II Interferon (GO:0034341)","13/80",1.07548608781846e-11,9.34136487705175e-10,0,0,16.9840796019901,428.94419569872,"CCL13;CD74;CCL3L1;SLC11A1;AIF1;CCL8;CCL7;CCL3;SIRPA;IRF8;LGALS9;TLR4;HLA-DPA1"
"Cellular Response To Type II Interferon (GO:0071346)","12/66",1.70501307039155e-11,1.41361083654281e-09,0,0,19.3785644051131,480.488854334582,"CCL13;CCL8;CCL3L1;CCL7;IFNGR1;CCL3;SIRPA;IRF8;LGALS9;TLR4;AIF1;HLA-DPA1"
"Cellular Response To Cytokine Stimulus (GO:0071345)","22/308",1.99419426822608e-11,1.5814827588019e-09,0,0,6.93589743589744,170.88799997428,"CCR1;CCL13;CSF1R;ASAH1;CCL3L1;DOCK8;LILRB2;AIF1;LILRB4;CSF2RA;CD4;CCL8;CCL7;CCL3;HCLS1;SIRPA;IRF8;MNDA;PTPN6;LGALS9;TLR4;HLA-DPA1"
"Positive Regulation Of MAPK Cascade (GO:0043410)","22/310",2.26317949376033e-11,1.72001641525785e-09,0,0,6.88702417695473,168.812431832587,"CCR1;CCL13;CD74;CSF1R;CCL3L1;C5AR1;LAPTM5;OSM;TREM2;ARRB2;DOK2;CD4;PTPRC;CCL8;CCL7;GLIPR2;GPR183;CCL3;ADAM8;LGALS9;TLR4;HLA-DRB1"
"Phagocytosis (GO:0006909)","12/69",2.95859235662633e-11,2.15858898339457e-09,0,0,18.3558453656265,445.014019882007,"MSR1;ITGAM;TYROBP;SLC11A1;ITGB2;PECAM1;TREM2;CD14;FCGR2B;TLR4;AIF1;TGM2"
"Regulation Of Type II Interferon Production (GO:0032649)","13/87",3.24477621407365e-11,2.27633531325782e-09,0,0,15.372012012012,371.255451629221,"PRNP;SLC11A1;LAPTM5;PDCD1LG2;LILRB4;CLEC7A;SIRPA;LGALS9;CD14;TLR4;HLA-DRB1;HAVCR2;HLA-DPA1"
"Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374)","17/179",5.01617015873327e-11,3.38870161834426e-09,0,0,9.30674264007597,220.716561358472,"CCR1;CSF1R;CCL13;CD74;CCL3L1;C5AR1;TREM2;ARRB2;CD4;PTPRC;CCL8;CCL7;GLIPR2;GPR183;CCL3;LGALS9;HLA-DRB1"
"Positive Regulation Of Lymphocyte Proliferation (GO:0050671)","12/74",6.98919708658618e-11,4.55296267354757e-09,0,0,16.871253211533,394.518571810577,"CD86;CD74;FCGR3A;HLA-DMB;PTPRC;CD209;GPR183;NCKAP1L;PDCD1LG2;LILRB2;TNFSF13B;HLA-DPA1"
"MHC Class II Protein Complex Assembly (GO:0002399)","7/14",9.88935638050295e-11,6.01272867934579e-09,0,0,85.5194805194805,1970.11030212096,"HLA-DMA;HLA-DMB;HLA-DRA;HLA-DOA;HLA-DQA1;HLA-DRB1;HLA-DPA1"
